name,percentageRatio,totalThreads,totalThroughput_mean,totalThroughput_std,totalThroughput_count,workloadThreadsThroughput_mean,sizeThreadsThroughput_mean,totalelapsedusertime_mean,totalelapsedwalltime_mean
BST,30i-20d-50f,1,576630.0,,1,576630.0,0.0,4.9,5.000016285
BST,30i-20d-50f,4,2301394.0,,1,2301394.0,0.0,19.66,19.999933512
BST,30i-20d-50f,8,4176821.0,,1,4176821.0,0.0,39.4,39.999749881
BST,30i-20d-50f,16,7463762.0,,1,7463762.0,0.0,78.72,80.001450476
BST,30i-20d-50f,32,14171463.0,,1,14171463.0,0.0,156.38,161.43609842
BST,30i-20d-50f,64,24150616.0,,1,24150616.0,0.0,309.62,320.011547556
BST,3i-2d-95f,1,640703.0,,1,640703.0,0.0,4.92,5.000050797
BST,3i-2d-95f,4,2668490.0,,1,2668490.0,0.0,19.76,20.000483384
BST,3i-2d-95f,8,5007979.0,,1,5007979.0,0.0,39.58,40.001351579
BST,3i-2d-95f,16,9358518.0,,1,9358518.0,0.0,79.1,80.002271422
BST,3i-2d-95f,32,17220137.0,,1,17220137.0,0.0,157.57,160.006416501
BST,3i-2d-95f,64,31027273.0,,1,31027273.0,0.0,315.77,320.006600934
HandshakesBST,30i-20d-50f,1,63560.0,,1,0.0,63560.0,4.35,4.999953025
HandshakesBST,30i-20d-50f,4,1670936.0,,1,1618940.0,51996.0,19.12,19.999971912
HandshakesBST,30i-20d-50f,8,3284346.0,,1,3242886.0,41461.0,38.61,40.000815199
HandshakesBST,30i-20d-50f,16,5635357.0,,1,5601405.0,33952.0,78.06,80.001738238
HandshakesBST,30i-20d-50f,32,8390643.0,,1,8367354.0,23290.0,157.36,160.004273677
HandshakesBST,30i-20d-50f,64,12630452.0,,1,12616152.0,14300.0,310.88,320.049159563
HandshakesBST,3i-2d-95f,1,63640.0,,1,0.0,63640.0,4.34,4.999946927
HandshakesBST,3i-2d-95f,4,1804877.0,,1,1744269.0,60608.0,19.16,20.000277292
HandshakesBST,3i-2d-95f,8,3283069.0,,1,3225230.0,57839.0,38.91,40.000663526
HandshakesBST,3i-2d-95f,16,8150891.0,,1,8099570.0,51321.0,78.47,80.001311558
HandshakesBST,3i-2d-95f,32,15274913.0,,1,15228688.0,46225.0,157.74,160.010282137
HandshakesBST,3i-2d-95f,64,23039491.0,,1,23018472.0,21019.0,316.36,320.015094475
MyBST,30i-20d-50f,1,2143113.0,,1,0.0,2143113.0,5.0,4.99996167
MyBST,30i-20d-50f,4,644632.0,,1,553167.0,91465.0,19.21,20.000233514
MyBST,30i-20d-50f,8,892648.0,,1,856116.0,36533.0,38.75,40.000415254
MyBST,30i-20d-50f,16,994502.0,,1,973463.0,21039.0,78.31,80.00103258
MyBST,30i-20d-50f,32,1135265.0,,1,1127618.0,7648.0,155.73,160.004794202
MyBST,30i-20d-50f,64,1304076.0,,1,1300657.0,3419.0,311.27,320.007421075
